;time;value
133;2023-07-28T13:25:16.377850Z;12.8
134;2023-07-28T13:28:36.386560Z;12.9
135;2023-07-28T13:32:16.374979Z;13.0
136;2023-07-28T13:38:37.720441Z;13.1
137;2023-07-28T13:42:16.467830Z;13.2
138;2023-07-28T13:45:36.563310Z;13.3
139;2023-07-28T13:49:36.464123Z;13.4
140;2023-07-28T13:53:36.469575Z;13.5
141;2023-07-28T14:01:16.583595Z;13.6
142;2023-07-28T14:13:57.874989Z;13.7
143;2023-07-28T14:21:18.967290Z;13.8
144;2023-07-28T14:26:17.878312Z;13.9
145;2023-07-28T14:30:16.770324Z;14.0
146;2023-07-28T14:33:36.768855Z;14.1
147;2023-07-28T14:37:16.670198Z;14.2
148;2023-07-28T14:39:56.687087Z;14.3
149;2023-07-28T14:42:37.283224Z;14.4
150;2023-07-28T14:44:57.679045Z;14.5
151;2023-07-28T14:46:58.998089Z;14.6
152;2023-07-28T14:48:58.406539Z;14.7
153;2023-07-28T14:50:36.673164Z;14.8
154;2023-07-28T14:52:37.891850Z;14.9
155;2023-07-28T14:54:16.789758Z;15.0
156;2023-07-28T14:57:16.791983Z;15.1
157;2023-07-28T14:59:56.987124Z;15.2
158;2023-07-28T15:02:56.796771Z;15.3
159;2023-07-28T15:05:36.774261Z;15.4
160;2023-07-28T15:09:16.791393Z;15.5
161;2023-07-28T15:12:56.784945Z;15.6
162;2023-07-28T15:16:56.879385Z;15.7
163;2023-07-28T15:22:18.095275Z;15.8
164;2023-07-28T15:27:59.487082Z;15.9
165;2023-07-28T15:32:18.397716Z;16.0
166;2023-07-28T15:35:56.890000Z;16.1
167;2023-07-28T15:38:37.888448Z;16.2
168;2023-07-28T15:40:56.880692Z;16.3
169;2023-07-28T15:42:16.882540Z;16.4
170;2023-07-28T15:44:36.882761Z;16.5
171;2023-07-28T15:46:16.885579Z;16.6
172;2023-07-28T15:47:36.986214Z;16.7
173;2023-07-28T15:48:56.887576Z;16.8
174;2023-07-28T15:50:38.603384Z;16.9
175;2023-07-28T15:51:56.999368Z;17.0
176;2023-07-28T15:53:36.983012Z;17.1
177;2023-07-28T15:55:16.982600Z;17.2
178;2023-07-28T15:58:36.994816Z;17.3
179;2023-07-28T15:59:57.082611Z;17.4
180;2023-07-28T16:01:41.083649Z;17.5
181;2023-07-28T16:03:17.000107Z;17.6
182;2023-07-28T16:04:57.094609Z;17.7
183;2023-07-28T16:06:38.184893Z;17.8
184;2023-07-28T16:08:16.985284Z;17.9
185;2023-07-28T16:10:17.001318Z;18.0
186;2023-07-28T16:11:56.997839Z;18.1
187;2023-07-28T16:14:16.985693Z;18.2
188;2023-07-28T16:15:56.987439Z;18.3
189;2023-07-28T16:17:37.088242Z;18.4
190;2023-07-28T16:19:37.086526Z;18.5
191;2023-07-28T16:21:17.109749Z;18.6
192;2023-07-28T16:23:57.099384Z;18.7
193;2023-07-28T16:25:37.089329Z;18.8
194;2023-07-28T16:27:37.088087Z;18.9
195;2023-07-28T16:29:57.095423Z;19.0
196;2023-07-28T16:31:37.089493Z;19.1
197;2023-07-28T16:33:37.093184Z;19.2
198;2023-07-28T16:35:37.196880Z;19.3
199;2023-07-28T16:37:57.092233Z;19.4
200;2023-07-28T16:39:59.417218Z;19.5
201;2023-07-28T16:41:58.400795Z;19.6
202;2023-07-28T16:45:17.192230Z;19.7
203;2023-07-28T16:47:57.193342Z;19.8
204;2023-07-28T16:51:17.203156Z;19.9
205;2023-07-28T16:53:59.500012Z;20.0
206;2023-07-28T16:55:57.218144Z;20.1
207;2023-07-28T16:57:57.193958Z;20.2
208;2023-07-28T17:00:37.213385Z;20.3
209;2023-07-28T17:03:17.297552Z;20.4
210;2023-07-28T17:07:58.795104Z;20.5
211;2023-07-28T17:10:57.419594Z;20.6
212;2023-07-28T17:13:57.209904Z;20.7
213;2023-07-28T17:17:39.604550Z;20.8
214;2023-07-28T17:21:57.305267Z;20.9
215;2023-07-28T17:26:19.598438Z;21.0
216;2023-07-28T17:33:38.412423Z;21.1
217;2023-07-28T17:37:37.302007Z;21.2
218;2023-07-28T17:40:37.411532Z;21.3
219;2023-07-28T17:46:37.417581Z;21.4
220;2023-07-28T17:49:37.438934Z;21.5
221;2023-07-28T17:56:18.721392Z;21.6
222;2023-07-28T18:00:37.412290Z;21.7
223;2023-07-28T18:03:24.111489Z;21.8
224;2023-07-28T18:06:17.607195Z;21.9
225;2023-07-28T18:09:19.007362Z;22.0
226;2023-07-28T18:16:18.111576Z;22.1
227;2023-07-28T18:45:23.326348Z;22.2
228;2023-07-28T22:15:21.352750Z;22.2
229;2023-07-28T22:50:18.850561Z;0.0
230;2023-07-29T04:27:02.593952Z;0.0
231;2023-07-29T04:53:39.814583Z;0.1
232;2023-07-29T05:16:19.912205Z;0.2
233;2023-07-29T05:28:39.902960Z;0.3
234;2023-07-29T05:38:20.115362Z;0.4
235;2023-07-29T05:43:39.998785Z;0.5
236;2023-07-29T05:47:40.001295Z;0.6
237;2023-07-29T05:50:40.111631Z;0.7
238;2023-07-29T05:53:40.003770Z;0.8
239;2023-07-29T06:00:20.119424Z;0.9
240;2023-07-29T06:05:20.111382Z;1.0
241;2023-07-29T06:11:40.103487Z;1.1
242;2023-07-29T06:14:00.110378Z;1.2
243;2023-07-29T06:15:41.203417Z;1.3
244;2023-07-29T06:17:40.110157Z;1.4
245;2023-07-29T06:19:20.106951Z;1.5
246;2023-07-29T06:22:20.121107Z;1.6
247;2023-07-29T06:25:01.282512Z;1.7
248;2023-07-29T06:27:03.023114Z;1.8
249;2023-07-29T06:29:20.210053Z;1.9
250;2023-07-29T06:31:20.206770Z;2.0
251;2023-07-29T06:33:20.212270Z;2.1
252;2023-07-29T06:35:00.206538Z;2.2
253;2023-07-29T06:37:03.007895Z;2.3
254;2023-07-29T06:39:41.421492Z;2.4
255;2023-07-29T06:42:20.219916Z;2.5
256;2023-07-29T06:45:00.215477Z;2.6
257;2023-07-29T06:48:40.223428Z;2.7
258;2023-07-29T06:51:00.211404Z;2.8
259;2023-07-29T06:52:40.235317Z;2.9
260;2023-07-29T06:54:40.224180Z;3.0
261;2023-07-29T06:57:00.310474Z;3.1
262;2023-07-29T06:58:40.232200Z;3.2
263;2023-07-29T07:00:40.316757Z;3.3
264;2023-07-29T07:02:40.311713Z;3.4
265;2023-07-29T07:04:41.513202Z;3.5
266;2023-07-29T07:06:41.320650Z;3.6
267;2023-07-29T07:08:40.313174Z;3.7
268;2023-07-29T07:10:40.325098Z;3.8
269;2023-07-29T07:13:00.340557Z;3.9
270;2023-07-29T07:15:22.824598Z;4.0
271;2023-07-29T07:17:00.314446Z;4.1
272;2023-07-29T07:18:40.333827Z;4.2
273;2023-07-29T07:20:20.315060Z;4.3
274;2023-07-29T07:22:00.416128Z;4.4
275;2023-07-29T07:23:20.334217Z;4.5
276;2023-07-29T07:25:22.715976Z;4.6
277;2023-07-29T07:27:20.415976Z;4.7
278;2023-07-29T07:29:21.816249Z;4.8
279;2023-07-29T07:31:40.425297Z;4.9
280;2023-07-29T07:34:40.417412Z;5.0
281;2023-07-29T07:37:40.419778Z;5.1
282;2023-07-29T07:41:00.426978Z;5.2
283;2023-07-29T07:45:41.719701Z;5.3
284;2023-07-29T07:52:20.421292Z;5.4
285;2023-07-29T07:59:40.421993Z;5.5
286;2023-07-29T08:07:01.924048Z;5.6
287;2023-07-29T08:11:40.440588Z;5.7
288;2023-07-29T08:14:00.747488Z;5.8
289;2023-07-29T08:16:43.034020Z;5.9
290;2023-07-29T08:18:42.126946Z;6.0
291;2023-07-29T08:20:20.542141Z;6.1
292;2023-07-29T08:22:00.533412Z;6.2
293;2023-07-29T08:24:00.656849Z;6.3
294;2023-07-29T08:25:40.647816Z;6.4
295;2023-07-29T08:27:21.826617Z;6.5
296;2023-07-29T08:29:42.033933Z;6.6
